"time","from","to","amount","kind"
1,2,3,1,"baseline_theft"
1,3,4,1,"baseline_theft"
1,4,5,1,"baseline_theft"
1,5,6,1,"baseline_theft"
1,6,7,1,"baseline_theft"
1,7,8,1,"baseline_theft"
1,8,9,1,"baseline_theft"
1,9,10,1,"baseline_theft"
1,10,11,1,"baseline_theft"
1,11,12,1,"baseline_theft"
1,12,13,1,"baseline_theft"
1,13,14,1,"baseline_theft"
1,14,15,1,"baseline_theft"
1,15,16,1,"baseline_theft"
1,16,17,1,"baseline_theft"
1,17,18,1,"baseline_theft"
1,18,19,1,"baseline_theft"
1,19,20,1,"baseline_theft"
1,20,21,1,"baseline_theft"
1,21,22,1,"baseline_theft"
1,22,23,1,"baseline_theft"
1,23,24,1,"baseline_theft"
1,24,25,1,"baseline_theft"
1,25,26,1,"baseline_theft"
1,26,27,1,"baseline_theft"
1,27,28,1,"baseline_theft"
1,28,29,1,"baseline_theft"
1,29,30,1,"baseline_theft"
1,30,31,1,"baseline_theft"
1,31,32,1,"baseline_theft"
1,32,33,1,"baseline_theft"
1,33,34,1,"baseline_theft"
1,34,35,1,"baseline_theft"
1,35,36,1,"baseline_theft"
1,36,37,1,"baseline_theft"
1,37,38,1,"baseline_theft"
1,38,39,1,"baseline_theft"
1,39,40,1,"baseline_theft"
1,40,41,1,"baseline_theft"
1,41,42,1,"baseline_theft"
1,42,43,1,"baseline_theft"
1,43,44,1,"baseline_theft"
1,44,45,1,"baseline_theft"
1,45,46,1,"baseline_theft"
1,46,47,1,"baseline_theft"
1,47,48,1,"baseline_theft"
1,48,49,1,"baseline_theft"
1,49,50,1,"baseline_theft"
1,50,51,1,"baseline_theft"
1,51,52,1,"baseline_theft"
1,52,53,1,"baseline_theft"
1,53,54,1,"baseline_theft"
1,54,55,1,"baseline_theft"
1,55,56,1,"baseline_theft"
1,56,57,1,"baseline_theft"
1,57,58,1,"baseline_theft"
1,58,59,1,"baseline_theft"
1,59,60,1,"baseline_theft"
1,60,1,0,"baseline_theft"
2,2,3,0.03,"patron_contract"
2,56,58,0.343,"freelance_theft"
2,23,45,0.343,"freelance_theft"
2,6,1,0.35,"freelance_theft"
2,34,36,0.343,"freelance_theft"
2,47,38,0.343,"freelance_theft"
2,15,59,0.343,"freelance_theft"
2,35,34,0.45605,"freelance_theft"
2,33,15,0.45605,"freelance_theft"
2,46,34,0.2964325,"freelance_theft"
2,58,54,0.343,"freelance_theft"
2,20,35,0.4956175,"freelance_theft"
2,4,47,0.45605,"freelance_theft"
2,51,6,0.4585,"freelance_theft"
2,54,50,0.343,"freelance_theft"
2,59,52,0.343,"freelance_theft"
2,5,55,0.343,"freelance_theft"
2,55,26,0.343,"freelance_theft"
2,41,23,0.45605,"freelance_theft"
2,36,17,0.343,"freelance_theft"
2,9,23,0.2964325,"freelance_theft"
2,44,32,0.343,"freelance_theft"
2,24,10,0.343,"freelance_theft"
2,8,13,0.343,"freelance_theft"
2,50,18,0.343,"freelance_theft"
2,48,22,0.343,"freelance_theft"
2,52,12,0.343,"freelance_theft"
2,53,55,0.336,"freelance_theft"
2,3,50,0.336,"delegated_theft"
2,21,3,0.39942,"freelance_theft"
2,42,46,0.439751375,"freelance_theft"
2,38,39,0.343,"freelance_theft"
2,43,21,0.475797,"freelance_theft"
2,45,32,0.22295,"freelance_theft"
2,16,53,0.4536,"freelance_theft"
2,7,6,0.298025,"freelance_theft"
2,32,29,0.343,"freelance_theft"
2,40,41,0.4956175,"freelance_theft"
2,11,3,0.259623,"freelance_theft"
2,13,6,0.19371625,"freelance_theft"
2,12,10,0.22295,"freelance_theft"
2,22,52,0.336,"freelance_theft"
2,27,8,0.45605,"freelance_theft"
2,28,59,0.336,"freelance_theft"
2,19,47,0.2964325,"freelance_theft"
2,17,29,0.22295,"freelance_theft"
2,30,53,0.29484,"freelance_theft"
2,29,32,0.2579675,"freelance_theft"
2,10,42,0.48991298125,"freelance_theft"
2,49,16,0.49476,"freelance_theft"
2,25,28,0.4536,"freelance_theft"
2,57,22,0.33355,"freelance_theft"
2,31,12,0.2939825,"freelance_theft"
2,26,22,0.2168075,"freelance_theft"
2,39,57,0.4527425,"freelance_theft"
2,37,42,0.3184434378125,"freelance_theft"
2,14,13,0.2837506875,"freelance_theft"
2,18,34,0.192681125,"freelance_theft"
3,2,34,0.03,"patron_contract"
3,20,6,0.03,"patron_contract"
3,40,22,0.03,"patron_contract"
3,49,32,0.03,"patron_contract"
3,43,3,0.03,"patron_contract"
3,51,13,0.03,"patron_contract"
3,4,12,0.03,"patron_contract"
3,27,53,0.03,"patron_contract"
3,33,23,0.03,"patron_contract"
3,25,47,0.03,"patron_contract"
3,5,42,0.03,"patron_contract"
3,24,50,0.03,"patron_contract"
3,44,52,0.03,"patron_contract"
3,48,55,0.03,"patron_contract"
3,56,59,0.03,"patron_contract"
3,37,29,0.03,"patron_contract"
3,7,18,0.03,"patron_contract"
3,9,46,0.03,"patron_contract"
3,19,26,0.03,"patron_contract"
3,30,17,0.03,"patron_contract"
3,31,45,0.03,"patron_contract"
3,14,57,0.03,"patron_contract"
3,11,28,0.03,"patron_contract"
3,18,21,0.30926805,"delegated_theft"
3,29,15,0.2964325,"delegated_theft"
3,38,12,0.201588625,"freelance_theft"
3,21,41,0.322151375,"freelance_theft"
3,16,36,0.336,"freelance_theft"
3,50,35,0.322151375,"delegated_theft"
3,35,16,0.432194,"freelance_theft"
3,26,35,0.35366629375,"delegated_theft"
3,10,46,0.29633839375,"freelance_theft"
3,47,54,0.336,"delegated_theft"
3,36,57,0.304782625,"freelance_theft"
3,28,26,0.351035066265625,"delegated_theft"
3,45,15,0.192681125,"delegated_theft"
3,17,28,0.353628022936836,"delegated_theft"
3,55,12,0.13103260625,"delegated_theft"
3,34,18,0.335598111625,"delegated_theft"
3,15,6,0.1364155625,"freelance_theft"
3,54,53,0.202146,"freelance_theft"
3,8,18,0.21813877255625,"freelance_theft"
3,53,58,0.336,"delegated_theft"
3,42,57,0.19810870625,"delegated_theft"
3,39,21,0.30677721375,"freelance_theft"
3,57,50,0.2726388415625,"delegated_theft"
3,6,45,0.3278297771875,"delegated_theft"
3,46,41,0.20939839375,"delegated_theft"
3,32,55,0.242537635484375,"delegated_theft"
3,3,45,0.213089355171875,"delegated_theft"
3,41,8,0.365781070394687,"freelance_theft"
3,22,42,0.2416903558125,"delegated_theft"
3,23,15,0.165988178125,"delegated_theft"
3,58,42,0.157098731278125,"freelance_theft"
3,12,50,0.177215247015625,"delegated_theft"
3,59,23,0.222324263054687,"delegated_theft"
3,52,35,0.2298830909375,"delegated_theft"
3,13,28,0.229858214908943,"delegated_theft"
4,2,42,0.03,"patron_contract"
4,20,12,0.03,"patron_contract"
4,27,15,0.03,"patron_contract"
4,25,50,0.03,"patron_contract"
4,40,6,0.03,"patron_contract"
4,49,45,0.03,"patron_contract"
4,43,18,0.03,"patron_contract"
4,51,23,0.03,"patron_contract"
4,4,28,0.03,"patron_contract"
4,33,35,0.03,"patron_contract"
4,24,55,0.03,"patron_contract"
4,19,57,0.03,"patron_contract"
4,30,53,0.03,"patron_contract"
4,37,34,0.03,"patron_contract"
4,44,22,0.03,"patron_contract"
4,7,21,0.03,"patron_contract"
4,56,3,0.03,"patron_contract"
4,39,32,0.03,"patron_contract"
4,11,46,0.03,"patron_contract"
4,5,13,0.03,"patron_contract"
4,14,26,0.03,"patron_contract"
4,48,8,0.03,"patron_contract"
4,9,47,0.03,"patron_contract"
4,31,59,0.03,"patron_contract"
4,10,41,0.03,"patron_contract"
4,38,52,0.03,"patron_contract"
