"total_wealth","utilitarian_welfare","theft_costs","contracting_costs","guarding_costs","punishment_losses","gini","top10_share","n_honest","n_patrons","n_hired_thieves","n_freelance","n_guards","n_idle","time","n_agents","rich_threshold","elite_threshold","regime"
60,41.5888308335967,0,0,0,0,0,0.1,1,0,0,59,0,0,0,60,1.15,2.1,"Balanced cycle"
58.8399999999999,39.541591629344,1.18,0,0,0,0.0334126444595528,0.117267165193746,1,0,0,59,0,0,1,60,1.12776666666667,2.0594,"Balanced cycle"
57.67,38.2017817690234,1.14,0.03,0,0,0.205783372503757,0.159605644182417,1,1,1,56,0,1,2,60,1.10534166666667,2.01845,"Patronage"
56.29,36.8057910161689,0.72,0.66,0,0,0.258951224868574,0.173326657380765,1,22,22,14,0,1,3,60,1.07889166666667,1.97015,"Patronage"
54.89,35.4217695910551,0.68,0.72,0,0,0.311629799648853,0.183871256236361,1,24,24,10,0,1,4,60,1.05205833333333,1.92115,"Patronage"
53.45,34.0558481366705,0.6,0.84,0,0,0.353351459655568,0.195783052080731,1,28,28,2,0,1,5,60,1.02445833333333,1.87075,"Patronage"
52.01,32.823599020357,0.6,0.84,0,0,0.383675253461916,0.202085472952816,1,28,28,2,0,1,6,60,0.996858333333333,1.82035,"Patronage"
50.57,31.6438094061066,0.6,0.84,0,0,0.410164164151223,0.209144694598923,1,28,28,2,0,1,7,60,0.969258333333333,1.76995,"Patronage"
49.13,30.5050656610758,0.6,0.84,0,0,0.434162067814181,0.216240599909742,1,28,28,2,0,1,8,60,0.941658333333333,1.71955,"Patronage"
47.69,29.4629646062879,0.6,0.84,0,0,0.45059822665779,0.221227818912315,1,28,28,2,0,1,9,60,0.914058333333333,1.66915,"Patronage"
46.25,28.4650045097445,0.6,0.84,0,0,0.469138272834944,0.226433111554793,1,28,28,2,0,1,10,60,0.886458333333333,1.61875,"Patronage"
45.65,29.1973288627321,0.6,0,0,0,0.470639635991341,0.229409231312358,1,0,0,30,0,29,11,60,0.874958333333333,1.59775,"Transition"
44.22,27.4149185842046,0.62,0.81,0,0,0.484765533442997,0.236346689706619,1,27,27,4,0,1,12,60,0.84755,1.5477,"Patronage"
43.6,28.0104086342036,0.62,0,0,0,0.476799857299964,0.223019601294187,1,0,0,31,0,28,13,60,0.835666666666666,1.526,"Transition"
43,27.5219650692971,0.6,0,0,0,0.486994842403696,0.226131502707594,1,0,0,30,0,29,14,60,0.824166666666666,1.505,"Transition"
42.4,27.1948271146169,0.6,0,0,0,0.492450097692268,0.229331476802512,1,0,0,30,0,29,15,60,0.812666666666666,1.484,"Transition"
41.8041796129895,26.9014708488421,0.6,0,0,0,0.49318157954897,0.230550395665628,1,0,0,30,0,29,16,60,0.801246775915631,1.46314628645463,"Transition"
41.2041796129895,26.5819457421296,0.6,0,0,0,0.498379247336343,0.233907585123073,1,0,0,30,0,29,17,60,0.789746775915631,1.44214628645463,"Transition"
40.5923683540773,26.2557419984461,0.62,0,0,0,0.501721807424406,0.237433058011843,1,0,0,31,0,28,18,60,0.778020393453148,1.42073289239271,"Transition"
39.9723683540773,26.2275527028151,0.62,0,0,0,0.489708192436812,0.240047389110398,1,0,0,31,0,28,19,60,0.766137060119815,1.39903289239271,"Transition"
38.5723683540773,24.4906728312752,0.62,0.78,0,0,0.50431759495221,0.245027028850816,1,26,26,5,0,2,20,60,0.739303726786481,1.35003289239271,"Patronage"
37.9523683540773,24.9223251296347,0.62,0,0,0,0.510149441188012,0.24902985566969,1,0,0,31,0,28,21,60,0.727420393453148,1.32833289239271,"Transition"
37.3323683540773,24.4178668397572,0.62,0,0,0,0.520737877389147,0.253165636958754,1,0,0,31,0,28,22,60,0.715537060119815,1.30663289239271,"Transition"
36.7195028680667,24.0127553685002,0.62,0,0,0,0.530478254254576,0.25739108853127,1,0,0,31,0,28,23,60,0.703790471637946,1.28518260038234,"Transition"
36.1092564029544,23.5197665469416,0.62,0,0,0,0.539663822946489,0.261740998154853,1,0,0,31,0,28,24,60,0.692094081056626,1.2638239741034,"Transition"
35.4892564029544,23.063075080319,0.62,0,0,0,0.550738910272047,0.266313633236677,1,0,0,31,0,28,25,60,0.680210747723293,1.2421239741034,"Transition"
34.8560489741634,22.9055783626698,0.64,0,0,0,0.546208180375902,0.27115158176833,1,0,0,32,0,27,26,60,0.668074272004799,1.21996171409572,"Transition"
34.2595644686679,22.4579644332763,0.62,0,0,0,0.555860564677134,0.275872532535621,1,0,0,31,0,28,27,60,0.656641652316135,1.19908475640338,"Transition"
33.6878944614843,22.014058466197,0.58,0,0,0,0.566526197835896,0.280553978353991,1,0,0,29,0,30,28,60,0.645684643845115,1.17907630615195,"Transition"
